Program,POC,Status,PartName,PartLoc,Lat,Lon
"Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Accelerating the Deployment of Equitable, Grid-Friendly Electric Vehicle Charging Infrastructure",Jenny Heeter,In-Process,,"""Columbia, South Carolina""",38.88974405,-77.04086076
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Columbia, South Carolina""",38.88974405,-77.04086076
Clean Cities Coalition Network,Karlynn Cory,Active,"""Greater Washington Region Clean Cities Coalition""","""Washington Dc, Washington Dc""",38.8898398,-77.04026909
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Washington Dc, Washington Dc""",38.8898398,-77.04026909
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Columbia, Missouri""",38.951883,-92.3337366
Clean Energy to Communities (C2C) - Peer Learning Cohorts: Moving from Idea to Implementation: Starting on the Pathway to 100% Clean Energy,Jenny Heeter,In-Process,,"""Lawrence, Kansas""",38.9719384,-95.2359496
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Overland Park, Kansas""",38.9742502,-94.6851702
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Grand Junction, Colorado""",39.063956,-108.5507317
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Rockville, Maryland""",39.0817985,-77.1516844
Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Unlocking Clean Energy for All: Financing Strategies for a more Equitable Energy Future,Jenny Heeter,In-Process,,"""Cincinnati, Ohio""",39.1014537,-84.5124602
Clean Cities Coalition Network,Karlynn Cory,Active,"""Kansas City Regional Clean Cities""","""Kansas City, Kansas""",39.1134562,-94.626497
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Guidiville Rancheria of California""","""Ukiah, California""",39.1501662,-123.2077861
Clean Cities Coalition Network,Karlynn Cory,Active,"""State of Delaware Clean Cities""","""Dover, Delaware""",39.158168,-75.5243682
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Dover, Delaware""",39.158168,-75.5243682
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Bloomington, Indiana""",39.1670396,-86.5342881
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Baltimore, Maryland""",39.2908816,-76.610759
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""MOVE2030""","""Mendocino, California""",39.3176491,-123.4126399
Clean Energy to Communities (C2C) - Peer Learning Cohorts: Moving from Idea to Implementation: Starting on the Pathway to 100% Clean Energy,Jenny Heeter,In-Process,,"""Baltimore City, Maryland""",39.32597265,-76.59675856
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""LEAN Energy US""","""Truckee, California""",39.327962,-120.1832533
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Athens, Ohio""",39.355589,-82.0610404
Clean Energy to Communities (C2C) - Peer Learning Cohorts: Moving from Idea to Implementation: Starting on the Pathway to 100% Clean Energy,Jenny Heeter,In-Process,,"""Breckenridge, Colorado""",39.4829124,-106.0465486
Solar Energy Innovation Network (SEIN) - Cohort 2,Alison Holm,2022,"""City of Reno, Nevada Governor's Office of Energy, NV Energy, and Ameresco""","""Reno, Nevada""",39.5261206,-119.8126581
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Confier, Colorado""",39.5350854,-105.3081083
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Jamestown, Kansas""",39.59945,-97.861154
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Newark, Delaware""",39.6775927,-75.7630866
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Jolt Solar Solutions""","""Chico, California""",39.7284945,-121.8374777
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Denver, Colorado""",39.7392364,-104.984862
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Wilmington, Delaware""",39.7459468,-75.546589
Clean Cities Coalition Network,Karlynn Cory,Active,"""Drive Clean Colorado, a Clean Cities Coalition""","""Arvada, Colorado""",39.8005505,-105.0811573
Clean Energy to Communities (C2C) - Peer Learning Cohorts: Moving from Idea to Implementation: Starting on the Pathway to 100% Clean Energy,Jenny Heeter,In-Process,,"""Commerce City, Colorado""",39.8083196,-104.9338675
Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Unlocking Clean Energy for All: Financing Strategies for a more Equitable Energy Future,Jenny Heeter,In-Process,,"""Westminster, Colorado""",39.8366528,-105.0372046
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Westminster, Colorado""",39.8366528,-105.0372046
Clean Cities Coalition Network,Karlynn Cory,Active,"""Eastern Pennsylvania Alliance for Clean Transportation""","""Philadelphia, Pennsylvania""",39.9527237,-75.1635262
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Philadelphia, Pennsylvania""",39.9527237,-75.1635262
"Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Accelerating the Deployment of Equitable, Grid-Friendly Electric Vehicle Charging Infrastructure",Jenny Heeter,In-Process,,"""Columbus, Ohio""",39.9622601,-83.0007065
Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Unlocking Clean Energy for All: Financing Strategies for a more Equitable Energy Future,Jenny Heeter,In-Process,,"""Columbus, Ohio""",39.9622601,-83.0007065
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Columbus, Ohio""",39.9622601,-83.0007065
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""White Cloud, Kansas""",39.9763876,-95.2969223
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Boulder, Colorado""",40.0154155,-105.270241
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Granby, Colorado""",40.046151,-105.9028225
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Utah Municipal Power Agency""","""Spanish Fork, Utah""",40.1150133,-111.6547774
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Provo, Utah""",40.2337289,-111.6587085
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Harrisburg, Pennsylvania""",40.2663107,-76.8861122
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""West Windsor Township, New Jersey""",40.3224396,-74.6002729
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Reading, Pennsylvania""",40.335345,-75.9279495
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Princeton, New Jersey""",40.3492744,-74.6592958
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Minster, Ohio""",40.3931033,-84.3760612
Clean Cities Coalition Network,Karlynn Cory,Active,"""Pittsburgh Region Clean Cities""","""Pittsburgh, Pennsylvania""",40.4416941,-79.9900861
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Pittsburgh, Pennsylvania""",40.4416941,-79.9900861
Communities Local Energy Action Program (Communities LEAP),Carishma Gokhale-Welch,In-Process,,"""Pittsburgh (Hill District), Pennsylvania""",40.4518667,-79.9758666
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Etna, Pennsylvania""",40.5035986,-79.9484404
"Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Accelerating the Deployment of Equitable, Grid-Friendly Electric Vehicle Charging Infrastructure",Jenny Heeter,In-Process,,"""Fort Collins, Colorado""",40.5508527,-105.0668085
Clean Cities Coalition Network,Karlynn Cory,Active,"""Northern Colorado Clean Cities Coalition""","""Fort Collins, Colorado""",40.5508527,-105.0668085
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Island Park, New York""",40.6042705,-73.6554078
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Ontario, New York""",40.6152298,-111.4896378
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Brooklyn, New York""",40.6526006,-73.9497211
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""New York, New York""",40.7127281,-74.0060152
Solar Energy Innovation Network (SEIN) - Cohort 3,Alison Holm,In-Process,"""Salt Lake City Department of Sustainability, Rocky Mountain Power, Suazo Business Center, and Utah Clean Energy""","""Salt Lake City, Utah""",40.7596198,-111.886797
"Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Accelerating the Deployment of Equitable, Grid-Friendly Electric Vehicle Charging Infrastructure",Jenny Heeter,In-Process,,"""Salt Lake City, Utah""",40.7596198,-111.886797
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Primary Residential Mortage/Lowtility""","""Salt Lake City, Utah""",40.7596198,-111.886797
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Madison, New Jersey""",40.7598227,-74.417097
Solar Energy Innovation Network (SEIN) - Cohort 2,Alison Holm,2022,"""Sustainable CUNY of the City University of New York/Smart Distirbuted Generation Hub, Underwriters Laboratories, Electric Power Research Institute, Con Edison, New York Power Authority, and Real Estate Board of New York""","""New York City, New York""",40.76639995,-73.77387801
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Brentwood, New York""",40.7812093,-73.2462273
Clean Energy to Communities (C2C) - Peer Learning Cohorts: Moving from Idea to Implementation: Starting on the Pathway to 100% Clean Energy,Jenny Heeter,In-Process,,"""Centre Region, Pennsylvania""",40.79333565,-77.85972085
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Lincoln, Nebraska""",40.8088861,-96.7077751
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Smithtown, New York""",40.8559314,-73.2006687
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Valhalla, New York""",41.0748189,-73.7751326
Clean Cities Coalition Network,Karlynn Cory,Active,"""Connecticut Southwestern Area Clean Cities""","""Norwalk, Connecticut""",41.1175966,-73.4078968
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Norwalk, Connecticut""",41.1175966,-73.4078968
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Southport, Connecticut""",41.1364856,-73.2834486
Communities Local Energy Action Program (Communities LEAP),Carishma Gokhale-Welch,In-Process,,"""Bridgeport, Connecticut""",41.1670412,-73.2048348
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Omaha, Nebraska""",41.2587459,-95.9383758
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Oberlin, Ohio""",41.2939386,-82.2173786
Clean Cities Coalition Network,Karlynn Cory,Active,"""Greater New Haven Clean Cities Coalition""","""New Haven, Connecticut""",41.3082138,-72.9250518
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""New Haven, Connecticut""",41.3082138,-72.9250518
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Avilla, Indiana""",41.3658823,-85.2388673
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Cleveland, Ohio""",41.4996574,-81.6936772
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Griffith, Indiana""",41.534507,-87.4255305
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Meriden, Connecticut""",41.5381535,-72.8070435
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Honesdale, Pennsylvania""",41.5767552,-75.2587871
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Gary, Indiana""",41.6020962,-87.3370647
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""New Bedford, Massachusetts""",41.6362152,-70.934205
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Meadville, Pennsylvania""",41.641445,-80.151449
Clean Cities Coalition Network,Karlynn Cory,Active,"""Capitol Clean Cities of Connecticut""",""", Connecticut""",41.6500201,-72.7342163
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Rocky Hill, Connecticut""",41.6648216,-72.6392587
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Providence, Rhode Island""",41.8239891,-71.4128343
"Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Accelerating the Deployment of Equitable, Grid-Friendly Electric Vehicle Charging Infrastructure",Jenny Heeter,In-Process,,"""Chicago, Illinois""",41.8755616,-87.6244212
Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Unlocking Clean Energy for All: Financing Strategies for a more Equitable Energy Future,Jenny Heeter,In-Process,,"""Chicago, Illinois""",41.8755616,-87.6244212
Clean Cities Coalition Network,Karlynn Cory,Active,"""Chicago Area Clean Cities""","""Chicago, Illinois""",41.8755616,-87.6244212
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Chicago, Illinois""",41.8755616,-87.6244212
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Lombard, Illinois""",41.8864687,-88.0201536
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Arlington Heights, Illinois""",42.0811563,-87.9802164
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Winnetka, Illinois""",42.1080703,-87.7365286
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Erie, Pennsylvania""",42.1294712,-80.0852695
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Highland Park, Illinois""",42.1816919,-87.8003438
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Ashland Solar Coop""","""Ashland, Oregon""",42.1972487,-122.7153995
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Solarize Rogue""","""Talent, Oregon""",42.243808,-122.788924
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Worcester, Massachusetts""",42.2625621,-71.8018877
"Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Accelerating the Deployment of Equitable, Grid-Friendly Electric Vehicle Charging Infrastructure",Jenny Heeter,In-Process,,"""Ann Arbor, Michigan""",42.2681569,-83.7312291
Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Unlocking Clean Energy for All: Financing Strategies for a more Equitable Energy Future,Jenny Heeter,In-Process,,"""Ann Arbor, Michigan""",42.2681569,-83.7312291
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Ann Arbor, Michigan""",42.2681569,-83.7312291
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Roxbury, Massachusetts""",42.3248426,-71.0950158
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Detroit, Michigan""",42.3315509,-83.0466403
"Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Accelerating the Deployment of Equitable, Grid-Friendly Electric Vehicle Charging Infrastructure",Jenny Heeter,In-Process,,"""Boston, Massachusetts""",42.3554334,-71.060511
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Boston, Massachusetts""",42.3554334,-71.060511
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Waltham, Massachusetts""",42.3756401,-71.2358004
Communities Local Energy Action Program (Communities LEAP),Carishma Gokhale-Welch,In-Process,,"""Highland Park, Michigan""",42.4055981,-83.0965829
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Winchester, Massachusetts""",42.4523178,-71.1369982
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Danvers, Massachusetts""",42.566751,-70.9368313
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Troy, Michigan""",42.6055893,-83.1499304
Communities Local Energy Action Program (Communities LEAP),Carishma Gokhale-Welch,In-Process,,"""Lawrence, Massachusetts""",42.7070354,-71.1631137
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""East Lansing, Michigan""",42.7320307,-84.4721678
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Glendale Community Solar""","""Glendale, Oregon""",42.7362273,-123.4233943
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Latham, New York""",42.7444055,-73.761563
Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Unlocking Clean Energy for All: Financing Strategies for a more Equitable Energy Future,Jenny Heeter,In-Process,,"""Cohoes, New York""",42.7742446,-73.7001187
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Schenectady, New York""",42.8142432,-73.9395687
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Portneuf Resource Council""","""Pocatello, Idaho""",42.8620287,-112.450627
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Peterborough, New Hampshire""",42.8776166,-71.949383
Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Unlocking Clean Energy for All: Financing Strategies for a more Equitable Energy Future,Jenny Heeter,In-Process,,"""Grand Rapids, Michigan""",42.9632405,-85.6678639
Clean Cities Coalition Network,Karlynn Cory,Active,"""Clean Communities of Central New York (Syracuse)""","""Syracuse, New York""",43.0481221,-76.1474244
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Lyons, New York""",43.0642305,-76.9902456
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Madison, Wisconsin""",43.074761,-89.3837613
Clean Cities Coalition Network,Karlynn Cory,Active,"""Greater Rochester Clean Cities""","""Greater Rochester, New York""",43.1161699,-77.67269339
Clean Energy to Communities (C2C) - Peer Learning Cohorts: Moving from Idea to Implementation: Starting on the Pathway to 100% Clean Energy,Jenny Heeter,In-Process,,"""Rochester, New York""",43.157285,-77.615214
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Rochester, New York""",43.157285,-77.615214
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Sun Prairie, Wisconsin""",43.1834579,-89.2134359
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Energy Conservation Works""","""Jackson, Wyoming""",43.479965,-110.761815
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Enonchong Renewable Energy Consulting""","""Boise, Idaho""",43.6166163,-116.200886
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Westby, Wisconsin""",43.6569157,-90.8542977
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Hartford, Vermont""",43.6605736,-72.3385094
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Bristol, Maine""",43.957731,-69.509811
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""The Environmental Center""","""Bend, Oregon""",44.0581728,-121.3153096
Solar Energy Innovation Network (SEIN) - Cohort 3,Alison Holm,In-Process,"""Lake Street Council, City of Minneapolis, City of Saint Paul, Great Plains Institute, Neighborhood Development Center, Northside Energy Opportunity Network, Weber Consulting, and Xcel Energy""","""Minneapolis And St. Paul, Minnesota""",44.07517895,-95.66567459
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Rockland, Maine""",44.0968828,-69.1285519
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Mankato, Minnesota""",44.1634663,-93.9993505
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Rockport, Maine""",44.1845236,-69.0761491
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Montpelier, Vermont""",44.2602164,-72.575114
Energy Transitions Initiative Partnership (ETIPP),Tessa Grecco,In-Process,,"""Mount Desert Island, Maine""",44.33308685,-68.24078648
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""St. Johnsbury, Vermont""",44.4193414,-72.015543
Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Unlocking Clean Energy for All: Financing Strategies for a more Equitable Energy Future,Jenny Heeter,In-Process,,"""Burlington, Vermont""",44.4761601,-73.212906
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Oregon State University""","""Corvallis, Oregon""",44.5645659,-123.2620435
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Grawn, Michigan""",44.6605785,-85.6928713
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Saint Albans, Vermont""",44.8107911,-73.0833607
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Eau Claire, Wisconsin""",44.811349,-91.4984941
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Eden Prairie, Minnesota""",44.8546856,-93.470786
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Orono, Maine""",44.883607,-68.672791
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Salem, Oregon""",44.9391565,-123.033121
Communities Local Energy Action Program (Communities LEAP),Carishma Gokhale-Welch,In-Process,,"""Minneapolis, Minnesota""",44.9772995,-93.2654692
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Minneapolis, Minnesota""",44.9772995,-93.2654692
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Dupree, South Dakota""",45.047482,-101.60099
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Medford, Maine""",45.285516,-68.852005
Clean Cities Coalition Network,Karlynn Cory,Active,"""Columbia-Willamette Clean Cities""","""Tualatin, Oregon""",45.3838546,-122.766351
Communities Local Energy Action Program (Communities LEAP),Carishma Gokhale-Welch,In-Process,"""COLUMBIA RIVER INTERTRIBAL FISH COMMISSION""","""Portland, Oregon""",45.5202471,-122.674194
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Bonneville Environmental Foundation""","""Portland, Oregon""",45.5202471,-122.674194
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Infinity Power""","""Vancouver, Washington""",45.6306954,-122.6744557
Energy Transitions Initiative Partnership (ETIPP),Tessa Grecco,In-Process,,"""Beaver Island, Michigan""",45.66607815,-85.5544216
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Northeast Neighborhood Association""","""Bozeman, Montana""",45.6794293,-111.044047
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Richland, Washington""",46.2804298,-119.275205
Communities Local Energy Action Program (Communities LEAP),Carishma Gokhale-Welch,In-Process,,"""Duluth, Minnesota""",46.7729322,-92.1251218
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Duluth, Minnesota""",46.7729322,-92.1251218
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Backus, Minnesota""",46.8202373,-94.5163876
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Houghton, Michigan""",46.8591287,-88.7774734
"Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Accelerating the Deployment of Equitable, Grid-Friendly Electric Vehicle Charging Infrastructure",Jenny Heeter,In-Process,,"""Missoula, Montana""",46.8701049,-113.995267
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Montana Renewable Energy Association""","""Missoula, Montana""",46.8701049,-113.995267
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Olympia, Washington""",47.0451022,-122.8950075
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Violet Energy Community Solar""","""Moses Lake, Washington""",47.1301417,-119.278077
Communities Local Energy Action Program (Communities LEAP),Carishma Gokhale-Welch,In-Process,,"""Seattle (Beacon Hill), Washington""",47.5872855,-122.3018831
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Africatown Community Land Trust""","""Seattle, Washington""",47.6038321,-122.330062
Energy Transitions Initiative Partnership (ETIPP),Tessa Grecco,In-Process,,"""Bainbridge Island, Washington""",47.6475683,-122.5460292
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Avista""","""Spokane, Washington""",47.6571934,-117.42351
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""McHale & Associates""","""Redmond, Washington""",47.6694141,-122.1238767
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Allgreen Solar Inc""","""Post Falls, Idaho""",47.7110106,-116.9480877
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Grand Marais, Minnesota""",47.750467,-90.334675
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Snohomish County PUD""","""Everett, Washington""",47.9673056,-122.201399
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Allied Resources Collective LLC""","""Lake Stevens, Washington""",48.0197794,-122.0660914
National Community Solar Partnership (NCSP),Karlynn Cory,Active,,"""Twisp, Washington""",48.3634784,-120.122303
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Transition San Juan County""","""Friday Harbor, Washington""",48.5342662,-123.017124
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""NW Center for Sustainability and Innovation""","""Bow, Washington""",48.5617742,-122.3982194
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""Orcas Power and Light Cooperative""","""Eastsound, Washington""",48.696771,-122.9054625
